2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ------------------------------------
2025-03-24 11:20:52,221 - INFO - ----- New Pacman A* Search Run -----
2025-03-24 11:20:52,221 - INFO - Start time: 2025-03-24 11:20:52.221611
2025-03-24 11:20:52,222 - INFO - Arguments: Namespace(layout_file='layouts/example_layout.txt', heuristic='mfd', no_visual=False, cell_size=20, delay=0.1, output=None)
2025-03-24 11:20:52,222 - INFO - Loading maze from layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Loading maze from file: layouts/example_layout.txt
2025-03-24 11:20:52,222 - INFO - Pacman start position found at (17, 1)
2025-03-24 11:20:52,222 - INFO - Maze loaded, dimensions: 36x18
2025-03-24 11:20:52,222 - INFO - Total food points: 8
2025-03-24 11:20:52,222 - INFO - Total magical pies: 4
2025-03-24 11:20:52,222 - INFO - Maze loaded successfully
2025-03-24 11:20:52,222 - INFO - Using Minimum Food Distance heuristic
2025-03-24 11:20:52,222 - INFO - Starting A* search
2025-03-24 11:20:52,222 - INFO - A* search started from position (17, 1)
2025-03-24 11:20:52,222 - INFO - Number of food points: 8
2025-03-24 11:20:52,222 - INFO - Number of magical pies: 4
2025-03-24 11:20:57,508 - INFO -   40: North
2025-03-24 11:20:57,508 - INFO -   41: North
2025-03-24 11:20:57,508 - INFO -   42: East
2025-03-24 11:20:57,508 - INFO -   43: East
2025-03-24 11:20:57,508 - INFO -   44: East
2025-03-24 11:20:57,508 - INFO -   45: East
2025-03-24 11:20:57,508 - INFO -   46: South
2025-03-24 11:20:57,508 - INFO -   47: East
2025-03-24 11:20:57,508 - INFO -   48: East
2025-03-24 11:20:57,508 - INFO -   49: West
2025-03-24 11:20:57,508 - INFO -   50: West
2025-03-24 11:20:57,508 - INFO -   51: North
2025-03-24 11:20:57,508 - INFO -   52: West
2025-03-24 11:20:57,508 - INFO -   53: West
2025-03-24 11:20:57,508 - INFO -   54: West
2025-03-24 11:20:57,508 - INFO -   55: West
2025-03-24 11:20:57,508 - INFO -   56: West
2025-03-24 11:20:57,508 - INFO -   57: West
2025-03-24 11:20:57,508 - INFO -   58: West
2025-03-24 11:20:57,508 - INFO -   59: West
2025-03-24 11:20:57,508 - INFO -   60: West
2025-03-24 11:20:57,508 - INFO -   61: West
2025-03-24 11:20:57,508 - INFO -   62: West
2025-03-24 11:20:57,508 - INFO -   63: East
2025-03-24 11:20:57,508 - INFO -   64: South
2025-03-24 11:20:57,508 - INFO -   65: South
2025-03-24 11:20:57,508 - INFO -   66: East
2025-03-24 11:20:57,508 - INFO -   67: East
2025-03-24 11:20:57,508 - INFO -   68: East
2025-03-24 11:20:57,508 - INFO -   69: South
2025-03-24 11:20:57,508 - INFO -   70: South
2025-03-24 11:20:57,508 - INFO -   71: West
2025-03-24 11:20:57,508 - INFO -   72: West
2025-03-24 11:20:57,508 - INFO -   73: West
2025-03-24 11:20:57,508 - INFO -   74: West
2025-03-24 11:20:57,508 - INFO -   75: West
2025-03-24 11:20:57,508 - INFO -   76: West
2025-03-24 11:20:57,508 - INFO -   77: South
2025-03-24 11:20:57,508 - INFO -   78: South
2025-03-24 11:20:57,508 - INFO -   79: West
2025-03-24 11:20:57,508 - INFO -   80: West
2025-03-24 11:20:57,508 - INFO -   81: West
2025-03-24 11:20:57,508 - INFO -   82: West
2025-03-24 11:20:57,508 - INFO -   83: West
2025-03-24 11:20:57,508 - INFO -   84: South
2025-03-24 11:20:57,509 - INFO -   85: West
2025-03-24 11:20:57,509 - INFO -   86: West
2025-03-24 11:20:57,509 - INFO -   87: West
2025-03-24 11:20:57,509 - INFO -   88: South
2025-03-24 11:20:57,509 - INFO -   89: South
2025-03-24 11:20:57,509 - INFO -   90: South
2025-03-24 11:20:57,509 - INFO -   91: South
2025-03-24 11:20:57,509 - INFO -   92: West
2025-03-24 11:20:57,509 - INFO -   93: West
2025-03-24 11:20:57,509 - INFO -   94: Stop
2025-03-24 11:20:57,509 - INFO -   95: East
2025-03-24 11:20:57,509 - INFO -   96: East
2025-03-24 11:20:57,509 - INFO -   97: East
2025-03-24 11:20:57,509 - INFO -   98: East
2025-03-24 11:20:57,509 - INFO -   99: East
2025-03-24 11:20:57,509 - INFO -   100: East
2025-03-24 11:20:57,509 - INFO -   101: East
2025-03-24 11:20:57,509 - INFO -   102: East
2025-03-24 11:20:57,509 - INFO -   103: East
2025-03-24 11:20:57,509 - INFO -   104: North
2025-03-24 11:20:57,509 - INFO -   105: East
2025-03-24 11:20:57,509 - INFO -   106: East
2025-03-24 11:20:57,509 - INFO -   107: East
2025-03-24 11:20:57,509 - INFO -   108: East
2025-03-24 11:20:57,509 - INFO -   109: East
2025-03-24 11:20:57,509 - INFO -   110: North
2025-03-24 11:20:57,509 - INFO -   111: North
2025-03-24 11:20:57,509 - INFO -   112: East
2025-03-24 11:20:57,509 - INFO -   113: East
2025-03-24 11:20:57,509 - INFO -   114: East
2025-03-24 11:20:57,509 - INFO -   115: East
2025-03-24 11:20:57,509 - INFO -   116: North
2025-03-24 11:20:57,509 - INFO -   117: North
2025-03-24 11:20:57,509 - INFO -   118: North
2025-03-24 11:20:57,509 - INFO -   119: East
2025-03-24 11:20:57,509 - INFO -   120: East
2025-03-24 11:20:57,509 - INFO -   121: East
2025-03-24 11:20:57,509 - INFO -   122: West
2025-03-24 11:20:57,509 - INFO -   123: West
2025-03-24 11:20:57,509 - INFO -   124: West
2025-03-24 11:20:57,509 - INFO -   125: South
2025-03-24 11:20:57,509 - INFO -   126: West
2025-03-24 11:20:57,509 - INFO -   127: West
2025-03-24 11:20:57,509 - INFO -   128: West
2025-03-24 11:20:57,509 - INFO -   129: West
2025-03-24 11:20:57,509 - INFO -   130: West
2025-03-24 11:20:57,509 - INFO -   131: West
2025-03-24 11:20:57,509 - INFO -   132: South
2025-03-24 11:20:57,509 - INFO -   133: South
2025-03-24 11:20:57,509 - INFO -   134: West
2025-03-24 11:20:57,510 - INFO -   135: West
2025-03-24 11:20:57,510 - INFO -   136: West
2025-03-24 11:20:57,510 - INFO -   137: West
2025-03-24 11:20:57,510 - INFO - Starting visualization
2025-03-24 11:20:58,204 - INFO - Visualization ready, waiting for key press to start
2025-03-24 11:20:59,727 - INFO - Visualization started
2025-03-24 11:21:00,589 - INFO - Food eaten at (8, 1), 7 remaining
2025-03-24 11:21:01,342 - INFO - Teleportation from (1, 1) to (34, 16)
2025-03-24 11:21:01,774 - INFO - Visualization step 20/137, Action: West
2025-03-24 11:21:02,416 - INFO - Magical pie eaten at (29, 11), walls vanished for 5 steps
2025-03-24 11:21:03,296 - INFO - Food eaten at (24, 8), 6 remaining
2025-03-24 11:21:03,942 - INFO - Visualization step 40/137, Action: North
2025-03-24 11:21:04,802 - INFO - Food eaten at (26, 6), 5 remaining
2025-03-24 11:21:06,098 - INFO - Visualization step 60/137, Action: West
2025-03-24 11:21:06,313 - INFO - Food eaten at (13, 5), 4 remaining
2025-03-24 11:21:07,171 - INFO - Food eaten at (17, 9), 3 remaining
2025-03-24 11:21:08,249 - INFO - Visualization step 80/137, Action: West
2025-03-24 11:21:09,000 - INFO - Magical pie eaten at (3, 12), walls vanished for 5 steps
2025-03-24 11:21:09,657 - INFO - Teleportation from (1, 16) to (34, 1)
2025-03-24 11:21:09,764 - INFO - Teleportation from (34, 1) to (1, 16)
